Course_Name,Course_ID,CU_Pk1,Item_Position,Gradebook_Item,Gradebook_Type,Gradebook_Date,Grade_Catagory,Status,Points_Earned,Points_Attempted,Points_Possible,last_access_date
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,32,5-1.1: BrainPop Video on DNA,N,49:57.6,,,4.5,0,5,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,33,5-1.2: DNA DB #7,N,35:41.7,Hw,,4.5,0,5,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,34,PROGRESS CHECK 3 @ 04-18-17,P,NULL,,,209.93,244,244,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,35,5-2.1: DNA Lab,N,15:35.3,Hw,,9.5,0,10,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,36,Unit 5 Assessment,N,21:15.1,Qz,,14,0,24,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,37,6-1.1: History of Fingerprinting and the Application to Solving Crimes,N,50:35.5,Hw,,9,0,10,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,38,6-2.1: Fingerprint Analysis Assignment,N,34:14.2,Hw,,7,0,10,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,39,6-2.2: Conviction Through Enhanced Fingerprint Evidence DB #8,N,31:45.5,Hw,,4,0,5,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,40,Unit 6 Assessment,N,41:44.7,Qz,,26,0,30,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,41,7-1.1: Can You Identify a Forgery? Assignment,N,31:30.6,Hw,,10,0,10,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,42,7-2.1: Questioned Documents Case Studies DB #9,N,26:50.1,Hw,,4,0,5,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,43,7-2.2: Handwriting Analysis,N,33:36.2,Hw,,5,0,5,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,44,PROGRESS CHECK 4 @ 05-15-17,P,NULL,,,298.43,353,353,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,45,7-3.1: TWEAS Case DB #10,N,34:16.0,Hw,,4.5,0,5,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,46,7-3.2: TWEAS Case Ð Solve the Crime Assignment,N,24:22.8,Hw,,10,0,10,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,47,Unit 7 Assessment,N,50:51.1,Qz,,16,0,20,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,48,8-1.1: The Final Case Ð Solve the Crime Assignment,N,55:40.6,Hw,,30,0,50,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,50,POINTS EARNED & TOTAL COURSE POINTS,T,NULL,,,363.93,0,443,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,255229,51,Course Expectations,N,21:44.7,Hw,,5,0,5,55:38.6
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,6,POINTS EARNED & TOTAL COURSE POINTS,T,NULL,,,328.41,0,443,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,7,WORK ATTEMPTED,T,NULL,,,328.41,408,408,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,8,0-1.1: Intro Assignment - Send a Message to Your Instructor,N,50:38.3,Hw,,5,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,9,0-1.2: Intro Assignment - DB #1,N,33:43.1,Hw,,5,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,10,0-1.3: Intro Assignment - Submitting Files,N,54:30.1,Hw,,5,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,11,1-1.1: Lesson 1-1 Graphic Organizer,N,07:13.0,Hw,,4.25,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,12,1-2.1: Explore a Career Assignment,N,53:49.6,Hw,,9.66,0,12,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,13,1-2.2: Explore a Career DB #2,N,57:52.7,Hw,,5,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,14,PROGRESS CHECK 1 @ 02-16-17,P,NULL,,,33.91,37,37,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,15,1-2.3: Lesson 1-2 Graphic Organizer,N,09:28.8,Hw,,5,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,16,Unit 1 Assessment,N,18:12.0,Qz,,18,0,20,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,17,2-1.1: Crime Scene DB #3,N,24:03.0,Hw,,5,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,18,2-2.1: Evidence Collection DB #4,N,06:42.6,Hw,,5,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,19,2-3.1: Hair Analysis Lab,N,38:30.0,Hw,,8.5,0,10,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,20,Unit 2 Assessment,N,14:32.2,Qz,,22,0,28,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,21,3-1.1: BrainPop Periodic Table of the Elements,N,03:54.5,,,4,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,22,3-1.2: Periodic Table of the Elements Lab,N,39:34.0,Hw,,10,0,10,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,23,3-2.1: pH Analysis Lab,N,00:35.7,Hw,,9.5,0,10,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,24,3-3.1: Drug Analysis and Toxicology DB #5,N,11:16.6,Hw,,3.75,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,25,PROGRESS CHECK 2 @ 03-15-17,P,NULL,,,124.66,140,140,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,26,3-4.1: A Very Cold Case DB #6,N,16:52.7,Hw,,5,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,27,3-4.2: Mystery Powder Lab,N,35:04.6,Hw,,9,0,10,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,28,Unit 3 Assessment,N,52:43.9,Qz,,26,0,30,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,29,4-1.1: Compare/Contrast Microscopes Assignment,N,02:51.1,Hw,,15,0,15,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,30,4-2.1: Summary of the Case of Karyn Slover Assignment,N,27:38.5,Hw,,10,0,10,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,31,Unit 4 Assessment,N,08:22.5,Qz,,16,0,24,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,32,5-1.1: BrainPop Video on DNA,N,13:57.2,,,5,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,33,5-1.2: DNA DB #7,N,36:50.5,Hw,,4.5,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,34,PROGRESS CHECK 3 @ 04-18-17,P,NULL,,,215.16,244,244,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,35,5-2.1: DNA Lab,N,09:43.5,Hw,,8,0,10,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,36,Unit 5 Assessment,N,14:27.6,Qz,,16,0,24,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,37,6-1.1: History of Fingerprinting and the Application to Solving Crimes,N,37:54.3,Hw,,10,0,10,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,38,6-2.1: Fingerprint Analysis Assignment,N,33:06.1,Hw,,6,0,10,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,39,6-2.2: Conviction Through Enhanced Fingerprint Evidence DB #8,N,22:55.0,Hw,,3,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,40,Unit 6 Assessment,N,32:37.8,Qz,,24,0,30,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,41,7-1.1: Can You Identify a Forgery? Assignment,N,NULL,Hw,,NULL,0,10,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,42,7-2.1: Questioned Documents Case Studies DB #9,N,NULL,Hw,,NULL,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,43,7-2.2: Handwriting Analysis,N,NULL,Hw,,NULL,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,44,PROGRESS CHECK 4 @ 05-15-17,P,NULL,,,282.16,353,353,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,45,7-3.1: TWEAS Case DB #10,N,NULL,Hw,,NULL,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,46,7-3.2: TWEAS Case Ð Solve the Crime Assignment,N,NULL,Hw,,NULL,0,10,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,47,Unit 7 Assessment,N,48:31.2,Qz,,20,0,20,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,48,8-1.1: The Final Case Ð Solve the Crime Assignment,N,28:58.6,Hw,,21.25,0,50,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,50,POINTS EARNED & TOTAL COURSE POINTS,T,NULL,,,328.41,0,443,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,260175,51,Course Expectations,N,42:31.7,Hw,,5,0,5,39:50.0
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,6,POINTS EARNED & TOTAL COURSE POINTS,T,NULL,,,313.25,0,443,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,7,WORK ATTEMPTED,T,NULL,,,313.25,388,388,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,8,0-1.1: Intro Assignment - Send a Message to Your Instructor,N,42:05.8,Hw,,5,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,9,0-1.2: Intro Assignment - DB #1,N,28:01.4,Hw,,5,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,10,0-1.3: Intro Assignment - Submitting Files,N,01:54.8,Hw,,5,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,11,1-1.1: Lesson 1-1 Graphic Organizer,N,59:57.0,Hw,,4.25,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,12,1-2.1: Explore a Career Assignment,N,20:59.4,Hw,,12,0,12,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,13,1-2.2: Explore a Career DB #2,N,24:12.0,Hw,,4,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,14,PROGRESS CHECK 1 @ 02-16-17,P,NULL,,,35.25,37,37,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,15,1-2.3: Lesson 1-2 Graphic Organizer,N,56:01.3,Hw,,5,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,16,Unit 1 Assessment,N,55:05.7,Qz,,16,0,20,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,17,2-1.1: Crime Scene DB #3,N,46:27.0,Hw,,5,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,18,2-2.1: Evidence Collection DB #4,N,38:12.3,Hw,,5,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,19,2-3.1: Hair Analysis Lab,N,24:28.6,Hw,,10,0,10,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,20,Unit 2 Assessment,N,04:41.5,Qz,,22,0,28,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,21,3-1.1: BrainPop Periodic Table of the Elements,N,41:07.0,,,5,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,22,3-1.2: Periodic Table of the Elements Lab,N,42:39.6,Hw,,10,0,10,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,23,3-2.1: pH Analysis Lab,N,47:29.7,Hw,,7,0,10,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,24,3-3.1: Drug Analysis and Toxicology DB #5,N,59:32.8,Hw,,5,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,25,PROGRESS CHECK 2 @ 03-15-17,P,NULL,,,125.25,140,140,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,26,3-4.1: A Very Cold Case DB #6,N,07:54.5,Hw,,5,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,27,3-4.2: Mystery Powder Lab,N,29:00.3,Hw,,7,0,10,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,28,Unit 3 Assessment,N,23:46.1,Qz,,24,0,30,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,29,4-1.1: Compare/Contrast Microscopes Assignment,N,NULL,Hw,,NULL,0,15,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,30,4-2.1: Summary of the Case of Karyn Slover Assignment,N,NULL,Hw,,NULL,0,10,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,31,Unit 4 Assessment,N,20:04.8,Qz,,12,0,24,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,32,5-1.1: BrainPop Video on DNA,N,25:05.5,,,4.5,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,33,5-1.2: DNA DB #7,N,28:13.0,Hw,,5,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,34,PROGRESS CHECK 3 @ 04-18-17,P,NULL,,,182.75,244,244,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,35,5-2.1: DNA Lab,N,17:35.4,Hw,,5,0,10,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,36,Unit 5 Assessment,N,57:57.7,Qz,,12,0,24,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,37,6-1.1: History of Fingerprinting and the Application to Solving Crimes,N,29:49.9,Hw,,8,0,10,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,38,6-2.1: Fingerprint Analysis Assignment,N,NULL,Hw,,NULL,0,10,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,39,6-2.2: Conviction Through Enhanced Fingerprint Evidence DB #8,N,57:33.0,Hw,,5,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,40,Unit 6 Assessment,N,10:31.4,Qz,,28,0,30,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,41,7-1.1: Can You Identify a Forgery? Assignment,N,24:49.2,Hw,,10,0,10,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,42,7-2.1: Questioned Documents Case Studies DB #9,N,NULL,Hw,,NULL,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,43,7-2.2: Handwriting Analysis,N,30:06.6,Hw,,5,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,44,PROGRESS CHECK 4 @ 05-15-17,P,NULL,,,255.75,353,353,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,45,7-3.1: TWEAS Case DB #10,N,NULL,Hw,,NULL,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,46,7-3.2: TWEAS Case Ð Solve the Crime Assignment,N,NULL,Hw,,NULL,0,10,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,47,Unit 7 Assessment,N,01:15.7,Qz,,20,0,20,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,48,8-1.1: The Final Case Ð Solve the Crime Assignment,N,50:13.1,Hw,,32.5,0,50,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,50,POINTS EARNED & TOTAL COURSE POINTS,T,NULL,,,313.25,0,443,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,257838,51,Course Expectations,N,19:28.4,Hw,,5,0,5,27:25.2
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,6,POINTS EARNED & TOTAL COURSE POINTS,T,NULL,,,408.25,0,443,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,7,WORK ATTEMPTED,T,NULL,,,408.25,443,443,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,8,0-1.1: Intro Assignment - Send a Message to Your Instructor,N,06:39.0,Hw,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,9,0-1.2: Intro Assignment - DB #1,N,02:13.8,Hw,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,10,0-1.3: Intro Assignment - Submitting Files,N,02:09.1,Hw,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,11,1-1.1: Lesson 1-1 Graphic Organizer,N,23:10.2,Hw,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,12,1-2.1: Explore a Career Assignment,N,34:07.5,Hw,,12,0,12,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,13,1-2.2: Explore a Career DB #2,N,42:57.3,Hw,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,14,PROGRESS CHECK 1 @ 02-16-17,P,NULL,,,37,37,37,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,15,1-2.3: Lesson 1-2 Graphic Organizer,N,31:00.8,Hw,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,16,Unit 1 Assessment,N,33:38.6,Qz,,18,0,20,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,17,2-1.1: Crime Scene DB #3,N,15:53.3,Hw,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,18,2-2.1: Evidence Collection DB #4,N,06:13.3,Hw,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,19,2-3.1: Hair Analysis Lab,N,49:13.3,Hw,,8.25,0,10,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,20,Unit 2 Assessment,N,17:25.0,Qz,,24,0,28,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,21,3-1.1: BrainPop Periodic Table of the Elements,N,10:37.1,,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,22,3-1.2: Periodic Table of the Elements Lab,N,08:19.9,Hw,,10,0,10,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,23,3-2.1: pH Analysis Lab,N,40:52.1,Hw,,10,0,10,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,24,3-3.1: Drug Analysis and Toxicology DB #5,N,55:28.9,Hw,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,25,PROGRESS CHECK 2 @ 03-15-17,P,NULL,,,132.25,140,140,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,26,3-4.1: A Very Cold Case DB #6,N,39:53.9,Hw,,4.5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,27,3-4.2: Mystery Powder Lab,N,17:59.2,Hw,,9.5,0,10,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,28,Unit 3 Assessment,N,09:39.6,Qz,,22,0,30,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,29,4-1.1: Compare/Contrast Microscopes Assignment,N,55:00.4,Hw,,15,0,15,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,30,4-2.1: Summary of the Case of Karyn Slover Assignment,N,52:30.2,Hw,,10,0,10,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,31,Unit 4 Assessment,N,57:34.3,Qz,,18,0,24,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,32,5-1.1: BrainPop Video on DNA,N,54:41.8,,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,33,5-1.2: DNA DB #7,N,05:47.0,Hw,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,34,PROGRESS CHECK 3 @ 04-18-17,P,NULL,,,221.25,244,244,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,35,5-2.1: DNA Lab,N,39:06.6,Hw,,10,0,10,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,36,Unit 5 Assessment,N,27:05.8,Qz,,16,0,24,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,37,6-1.1: History of Fingerprinting and the Application to Solving Crimes,N,20:28.3,Hw,,10,0,10,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,38,6-2.1: Fingerprint Analysis Assignment,N,24:53.1,Hw,,10,0,10,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,39,6-2.2: Conviction Through Enhanced Fingerprint Evidence DB #8,N,19:52.1,Hw,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,40,Unit 6 Assessment,N,47:46.0,Qz,,30,0,30,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,41,7-1.1: Can You Identify a Forgery? Assignment,N,01:31.6,Hw,,10,0,10,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,42,7-2.1: Questioned Documents Case Studies DB #9,N,04:48.0,Hw,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,43,7-2.2: Handwriting Analysis,N,32:05.0,Hw,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,44,PROGRESS CHECK 4 @ 05-15-17,P,NULL,,,322.25,353,353,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,45,7-3.1: TWEAS Case DB #10,N,09:31.4,Hw,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,46,7-3.2: TWEAS Case Ð Solve the Crime Assignment,N,23:59.8,Hw,,10,0,10,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,47,Unit 7 Assessment,N,26:33.9,Qz,,16,0,20,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,48,8-1.1: The Final Case Ð Solve the Crime Assignment,N,31:17.7,Hw,,50,0,50,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,50,POINTS EARNED & TOTAL COURSE POINTS,T,NULL,,,408.25,0,443,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,254633,51,Course Expectations,N,57:31.3,Hw,,5,0,5,37:29.8
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,256688,6,POINTS EARNED & TOTAL COURSE POINTS,T,NULL,,,363.63,0,443,29:36.7
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,256688,7,WORK ATTEMPTED,T,NULL,,,363.63,443,443,29:36.7
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,256688,8,0-1.1: Intro Assignment - Send a Message to Your Instructor,N,08:49.2,Hw,,5,0,5,29:36.7
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,256688,9,0-1.2: Intro Assignment - DB #1,N,02:17.2,Hw,,5,0,5,29:36.7
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,256688,10,0-1.3: Intro Assignment - Submitting Files,N,19:00.4,Hw,,5,0,5,29:36.7
Forensic Science (Introduction) (Sem2 16-17 Sec 01),FrScA-S217-01,256688,11,1-1.1: Lesson 1-1 Graphic Organizer,N,14:06.8,Hw,,4.63,0,5,29:36.7
