Extraction Date:,6/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,2/12/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State Name,SEA Education Environment,SEA Disability Category,American Indian or Alaska Native Age 3 to 5 ,Asian Age 3-5 ,Black or African American Age 3-5 ,Hispanic/Latino Age 3-5 ,Native Hawaiian or Other Pacific Islander Age 3-5 ,Two or More Races Age 3-5 ,White Age 3-5 ,Female Age 3 to 5,Male Age 3 to 5,LEP Yes Age 3 to 5,LEP No Age 3 to 5,Age 3 to 5,Age 6-11,Age 12-17,Age 18-21,Ages 6-21,LEP Yes Age 6 to 21,LEP No Age 6 to 21,Female Age 6 to 21,Male Age 6 to 21,American Indian or Alaska Native Age 6 to21,Asian Age 6 to21,Black or African American Age 6 to21,Hispanic/Latino Age 6 to21,Native Hawaiian or Other Pacific Islander Age 6 to21,Two or more races Age 6 to21,White Age 6 to21
2012,CONNECTICUT,Other Location Regular Early Childhood Program (less than 10 Hours),All Disabilities,0,2,7,29,0,3,49,27,63,1,89,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Parentally Placed in Private Schools,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,269,248,12,529,19,510,188,341,0,8,54,41,1,4,421
2012,CONNECTICUT,"Residential Facility, Age 3-5",All Disabilities,0,1,6,6,0,0,12,10,15,0,25,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Residential Facility, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,34,453,184,671,18,653,223,448,7,8,158,156,0,7,335
2012,CONNECTICUT,Separate Class,All Disabilities,5,51,156,283,2,36,440,241,732,19,954,973,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Separate School, Age 3-5",All Disabilities,0,3,5,25,0,0,30,19,44,2,61,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Separate School, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,902,2051,567,3520,94,3426,897,2623,17,74,664,742,3,62,1958
2012,CONNECTICUT,Service Provider Location,All Disabilities,3,5,34,82,0,11,235,99,271,1,369,370,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Services Regular Early Childhood Program (at least 10 Hours),All Disabilities,13,183,659,1424,3,169,3111,1648,3914,323,5239,5562,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Services Regular Early Childhood Program (less than 10 Hours),All Disabilities,0,15,17,89,0,18,198,100,237,0,337,337,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Total, Age 3-5",All Disabilities,24,283,975,2129,5,247,4362,2297,5728,353,7672,8025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Total, Age 6-21",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,26350,31429,3926,61705,4905,56800,19648,42057,245,1242,9991,14624,49,1196,34358
2012,CONNECTICUT,Correctional Facilities,Autism,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Home,Autism,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Homebound/Hospital,Autism,-,-,-,-,-,-,-,-,-,-,-,-,5,3,1,9,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class 40% through 79% of day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,651,626,75,1352,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class 80% or more of the day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,1869,1329,198,3396,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class less than 40% of day,Autism,-,-,-,-,-,-,-,-,-,-,-,-,505,226,49,780,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Other Location Regular Early Childhood Program (at least 10 Hours),Autism,-,-,-,-,-,-,-,-,-,-,-,117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Other Location Regular Early Childhood Program (less than 10 Hours),Autism,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Parentally Placed in Private Schools,Autism,-,-,-,-,-,-,-,-,-,-,-,-,15,8,0,23,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Residential Facility, Age 3-5",Autism,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Residential Facility, Age 6-21",Autism,-,-,-,-,-,-,-,-,-,-,-,-,7,46,34,87,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Separate Class,Autism,-,-,-,-,-,-,-,-,-,-,-,202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Separate School, Age 3-5",Autism,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Separate School, Age 6-21",Autism,-,-,-,-,-,-,-,-,-,-,-,-,266,483,170,919,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Service Provider Location,Autism,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Services Regular Early Childhood Program (at least 10 Hours),Autism,-,-,-,-,-,-,-,-,-,-,-,458,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Services Regular Early Childhood Program (less than 10 Hours),Autism,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Total, Age 3-5",Autism,3,54,99,178,1,27,437,-,-,-,-,799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Total, Age 6-21",Autism,-,-,-,-,-,-,-,-,-,-,-,-,3318,2721,527,6566,-,-,-,-,24,278,765,949,6,109,4435
2012,CONNECTICUT,Correctional Facilities,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Home,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Homebound/Hospital,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class 40% through 79% of day,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,1,2,0,3,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class 80% or more of the day,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,3,3,1,7,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class less than 40% of day,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Other Location Regular Early Childhood Program (at least 10 Hours),Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Other Location Regular Early Childhood Program (less than 10 Hours),Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Parentally Placed in Private Schools,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Residential Facility, Age 3-5",Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Residential Facility, Age 6-21",Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,2,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Separate Class,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Separate School, Age 3-5",Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Separate School, Age 6-21",Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,3,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Service Provider Location,Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Services Regular Early Childhood Program (at least 10 Hours),Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Services Regular Early Childhood Program (less than 10 Hours),Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Total, Age 3-5",Deaf-blindness,0,0,0,0,0,0,4,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Total, Age 6-21",Deaf-blindness,-,-,-,-,-,-,-,-,-,-,-,-,5,7,4,16,-,-,-,-,0,0,0,2,0,1,13
2012,CONNECTICUT,Correctional Facilities,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Home,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Homebound/Hospital,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class 40% through 79% of day,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class 80% or more of the day,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class less than 40% of day,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Other Location Regular Early Childhood Program (at least 10 Hours),Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Other Location Regular Early Childhood Program (less than 10 Hours),Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Parentally Placed in Private Schools,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Residential Facility, Age 3-5",Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Residential Facility, Age 6-21",Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Separate Class,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,627,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Separate School, Age 3-5",Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Separate School, Age 6-21",Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Service Provider Location,Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Services Regular Early Childhood Program (at least 10 Hours),Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,3082,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Services Regular Early Childhood Program (less than 10 Hours),Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Total, Age 3-5",Developmental delay (valid only for children ages 3-9 when defined by state),12,150,598,1317,2,124,2191,-,-,-,-,4394,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Total, Age 6-21",Developmental delay (valid only for children ages 3-9 when defined by state),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Correctional Facilities,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,0,22,77,99,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Home,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Homebound/Hospital,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,10,64,22,96,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class 40% through 79% of day,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,126,474,49,649,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class 80% or more of the day,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,533,1457,163,2153,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class less than 40% of day,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,224,581,85,890,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Other Location Regular Early Childhood Program (at least 10 Hours),Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Other Location Regular Early Childhood Program (less than 10 Hours),Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Parentally Placed in Private Schools,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,1,6,0,7,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Residential Facility, Age 3-5",Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Residential Facility, Age 6-21",Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,15,229,61,305,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Separate Class,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Separate School, Age 3-5",Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Separate School, Age 6-21",Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,228,706,97,1031,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Service Provider Location,Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Services Regular Early Childhood Program (at least 10 Hours),Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Services Regular Early Childhood Program (less than 10 Hours),Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Total, Age 3-5",Emotional disturbance,0,0,4,3,0,1,5,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Total, Age 6-21",Emotional disturbance,-,-,-,-,-,-,-,-,-,-,-,-,1137,3539,554,5230,-,-,-,-,24,42,1110,1273,6,135,2640
2012,CONNECTICUT,Correctional Facilities,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Home,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Homebound/Hospital,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,2,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class 40% through 79% of day,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,29,43,8,80,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class 80% or more of the day,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,173,133,11,317,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class less than 40% of day,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,5,8,0,13,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Other Location Regular Early Childhood Program (at least 10 Hours),Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Other Location Regular Early Childhood Program (less than 10 Hours),Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Parentally Placed in Private Schools,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,5,6,0,11,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Residential Facility, Age 3-5",Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Residential Facility, Age 6-21",Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,0,1,3,4,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Separate Class,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Separate School, Age 3-5",Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Separate School, Age 6-21",Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,35,51,28,114,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Service Provider Location,Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Services Regular Early Childhood Program (at least 10 Hours),Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Services Regular Early Childhood Program (less than 10 Hours),Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Total, Age 3-5",Hearing impairment,0,7,10,28,0,0,55,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Total, Age 6-21",Hearing impairment,-,-,-,-,-,-,-,-,-,-,-,-,248,242,51,541,-,-,-,-,0,37,77,159,0,4,264
2012,CONNECTICUT,Correctional Facilities,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,0,0,6,6,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Home,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Homebound/Hospital,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,1,5,0,6,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class 40% through 79% of day,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,233,546,141,920,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class 80% or more of the day,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,314,401,303,1018,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class less than 40% of day,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,71,76,38,185,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Other Location Regular Early Childhood Program (at least 10 Hours),Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Other Location Regular Early Childhood Program (less than 10 Hours),Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Parentally Placed in Private Schools,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Residential Facility, Age 3-5",Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Residential Facility, Age 6-21",Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,0,12,17,29,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Separate Class,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Separate School, Age 3-5",Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Separate School, Age 6-21",Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,25,85,53,163,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Service Provider Location,Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Services Regular Early Childhood Program (at least 10 Hours),Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Services Regular Early Childhood Program (less than 10 Hours),Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Total, Age 3-5",Intellectual disability,0,2,5,6,0,1,14,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Total, Age 6-21",Intellectual disability,-,-,-,-,-,-,-,-,-,-,-,-,644,1125,558,2327,-,-,-,-,14,63,477,608,1,33,1131
2012,CONNECTICUT,Correctional Facilities,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,0,0,7,7,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Home,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Homebound/Hospital,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,8,26,10,44,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class 40% through 79% of day,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,294,432,102,828,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class 80% or more of the day,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,280,273,127,680,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Inside regular class less than 40% of day,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,215,233,70,518,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Other Location Regular Early Childhood Program (at least 10 Hours),Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Other Location Regular Early Childhood Program (less than 10 Hours),Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Parentally Placed in Private Schools,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,3,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Residential Facility, Age 3-5",Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Residential Facility, Age 6-21",Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,7,60,52,119,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Separate Class,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Separate School, Age 3-5",Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Separate School, Age 6-21",Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,125,257,131,513,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Service Provider Location,Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Services Regular Early Childhood Program (at least 10 Hours),Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Services Regular Early Childhood Program (less than 10 Hours),Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Total, Age 3-5",Multiple disabilities,2,5,10,15,0,3,65,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,"Total, Age 6-21",Multiple disabilities,-,-,-,-,-,-,-,-,-,-,-,-,932,1281,499,2712,-,-,-,-,14,93,458,565,2,45,1535
2012,CONNECTICUT,Correctional Facilities,Orthopedic impairment,-,-,-,-,-,-,-,-,-,-,-,-,0,0,3,3,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Home,Orthopedic impairment,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,CONNECTICUT,Homebound/Hospital,Orthopedic impairment,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,1,-,-,-,-,-,-,-,-,-,-,-
